시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
인천광역시,남동구,구월동,2024,9890,4373,380884,214948,724815,436020,1616716,937897,1733691,1879610,1091974,1312170,1031203,1082319,1121603,1121155,1225424,1193148,1247945,1276590,1284246,1237181,1499522,1357877,1524507,1475735,1675552,1745343,1759229,2088413,1067849,1346716,936632,943202,842677,803145,657478,636154,301028,368791,53510,128171,1193,17060,64,480,0,0
인천광역시,남동구,남촌동,2024,2164,470,25700,17307,48972,70211,123321,191747,120061,191073,77575,56921,68133,50424,67946,52488,73644,56346,68589,57476,69745,54506,68321,67631,86365,71069,188774,79412,146818,94194,69715,75828,68408,57626,34564,51947,14124,42750,5934,22293,1089,6514,3,519,0,0,0,0
인천광역시,남동구,논현동,2024,15417,469,155606,78071,397686,301419,834381,690682,827602,974311,512343,424636,450965,383280,483199,473402,539225,526796,533050,515597,559843,499818,734875,550448,732223,615200,856626,723731,820111,825868,468178,623817,414351,496354,348840,419735,240273,347665,104337,211331,7363,53059,508,10882,3,62,0,0
인천광역시,남동구,도림동,2024,934,178,16687,9203,41620,29590,100996,49764,104055,64234,65748,43584,59186,41117,57384,45547,58058,53843,57721,54089,57825,51408,70925,69773,59648,73514,66574,79423,65425,85666,36567,72848,32351,54918,25311,52075,15016,44706,6773,25611,1569,5428,77,395,0,1,0,0
인천광역시,남동구,만수동,2024,30723,3901,349404,99377,635109,193473,1262038,411863,1293084,984016,853859,537013,718853,491798,721548,535033,773383,592781,744084,611429,682451,623517,780757,764884,851105,855678,820204,984692,823893,1176882,482000,916196,372946,629034,320793,572315,229011,485105,114796,286267,20888,86189,1132,5494,5,44,0,0
인천광역시,남동구,서창동,2024,3055,278,89903,19006,187266,49583,385968,93168,399277,186460,234963,125950,206866,121563,197097,123708,210857,154474,197217,175456,180636,181089,207396,233267,224357,267022,216316,314286,212928,355806,155559,316852,119084,220700,110120,197852,88621,173960,38647,109641,4958,23511,1379,4068,0,2,0,0
인천광역시,남동구,수산동,2024,237,28,1060,3336,2228,6519,7816,12672,9667,28132,7778,22611,7200,13373,8985,14412,10937,17080,9149,15493,11292,14892,13943,16279,13995,16754,13488,16741,14395,19164,6985,14926,8478,9882,5665,8244,2478,7475,1662,4403,716,1365,0,6,0,0,0,0
인천광역시,남동구,운연동,2024,49,0,8270,5059,28521,25057,73058,59959,73163,67530,36066,33735,29738,28684,26337,27059,29212,29152,31840,32055,29799,28927,37024,35266,40971,43170,53269,54887,66673,70879,37586,41721,25035,27259,20506,23755,15982,20615,9158,11474,2106,5691,5,471,0,0,0,0
인천광역시,남동구,장수동,2024,871,317,22735,28364,46102,49750,102885,90812,123811,138609,95462,164640,106309,177575,126781,169937,137538,149611,146287,146705,173138,132654,201481,115286,198541,98693,175815,96990,135267,108597,83001,74775,57025,53918,42125,42204,22374,35790,9002,19677,2576,6446,81,521,0,0,1,0
인천광역시,동구,금곡동,2024,0,0,2550,535,4487,2255,13949,5911,22386,12241,10935,7449,8752,6029,8078,5429,8689,5711,9440,6603,9266,6666,13783,7991,15158,8500,13737,8233,13719,9643,8304,7456,7211,4825,7432,4038,4680,2760,1926,851,28,67,0,0,0,0,0,0
인천광역시,동구,만석동,2024,109,1,15074,5705,24766,26962,50072,38060,50707,40326,34597,16518,29686,16617,29241,17412,30956,21112,28451,22656,28597,23364,28647,32991,45805,36934,54503,39176,45205,46815,19623,37531,11965,28514,8440,26281,4688,22694,1671,13268,188,1254,0,0,0,0,0,0
인천광역시,동구,송림동,2024,6409,572,49058,43868,98154,103449,201758,242425,202975,365999,141928,200256,146435,168821,168684,149580,194077,155490,175932,165163,173353,155075,278679,185123,287247,189869,288701,202515,263688,217229,140431,163752,106939,113018,81298,98921,54471,75997,18068,44368,2653,6581,79,105,0,0,0,0
인천광역시,동구,송현동,2024,3191,495,37612,21822,84663,61782,164060,128537,156609,125712,86179,83545,74502,74242,75450,77200,84331,84221,87837,80217,84153,76939,100125,96782,120686,113215,139210,141913,133405,150224,103707,88633,76116,60878,60095,51113,48907,42110,21678,22684,2087,1668,0,0,0,0,0,0
인천광역시,동구,창영동,2024,7413,374,27576,16855,46963,27614,92903,84621,94870,224385,63515,51731,57329,57465,63432,49657,70291,51985,71628,63883,62833,62938,96741,72835,129354,80536,107850,86581,111835,95403,42054,77866,31536,51648,48080,42895,13485,37781,5105,27412,353,14445,1,37,0,0,0,0
인천광역시,동구,화수동,2024,6,0,8475,2383,19199,10285,49439,25915,44014,29459,30340,17181,28396,16362,27642,17504,30320,19546,28171,19461,25366,20568,30394,25541,32327,27193,36879,28920,26936,32917,18216,24285,10791,18870,9831,17883,4357,14700,1135,5750,94,624,0,0,0,0,0,0
인천광역시,동구,화평동,2024,667,88,7224,6226,15435,11359,27722,25530,27673,28006,13748,20893,12981,20719,13274,21600,15143,23703,15284,22545,13738,21006,16453,23822,19004,28646,17565,33398,15873,32162,11890,19510,9184,12632,7906,10251,7093,9267,3195,4551,620,886,26,71,0,0,0,0
인천광역시,미추홀구,관교동,2024,3595,1732,102262,113549,212608,236213,486225,428473,518982,656352,341913,599942,320446,533270,377151,547952,455969,558912,491392,548291,519449,557521,680153,583710,711087,619185,688396,682587,755246,830405,607488,484882,624649,293627,455367,248750,336681,195831,173003,109734,41671,35902,169,1097,0,14,0,0
인천광역시,미추홀구,도화동,2024,21676,2129,271411,117411,506995,253847,1103064,589746,1135450,1041334,680006,527185,572765,406388,559354,407355,580113,486145,584162,506443,552865,483570,708583,604957,822196,715716,827559,827309,851479,999598,483835,807036,370746,521769,318208,464662,229729,412557,108898,256399,5856,66177,46,1535,1,97,0,1
