시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
경기도,의정부시,의정부동,2023,59850,13110,239107,139334,575032,362196,1104243,654945,1217470,1412848,815286,1313848,768412,1084878,872390,1128831,982059,1172687,1006914,1253596,1086930,1171447,1227336,1130345,1327500,1227663,1453312,1352928,1540347,1504624,1052794,1200453,913757,767742,758762,626357,637659,525922,306430,327986,76349,151460,13391,22586,2928,3900,2078,3058
경기도,의정부시,자일동,2023,0,0,116,692,268,2420,683,5460,957,8499,986,7201,1013,3655,814,2819,1164,2500,1297,2379,1750,2141,1943,2210,2331,3035,2524,3207,1768,2895,1419,1939,3595,1348,1242,1209,356,873,67,358,64,112,0,0,0,0,0,0
경기도,의정부시,장암동,2023,2183,1722,42266,26295,135699,90744,308067,162166,228329,135178,122515,91357,80731,72089,69722,73435,76760,76414,79778,66129,84511,63140,90383,74655,96095,88931,98687,104947,94733,141165,65206,141544,45439,96527,35710,78214,25091,71668,10300,43991,2853,15282,239,1951,13,226,3,3
경기도,의정부시,호원동,2023,51770,11808,369205,143849,709490,303292,1503276,566573,1554153,983691,983712,709124,832576,621741,823440,709458,824805,710456,806870,705079,767755,732444,781075,828007,839447,985770,888154,1148029,767532,1379990,537062,1239487,404702,786094,350692,674907,282889,595215,135002,380160,33083,144720,7494,18857,1423,4074,616,2981
경기도,이천시,갈산동,2023,0,0,88,16,2332,827,8940,1911,19338,9019,9345,2817,6459,2561,4702,4460,4618,4180,6412,5359,5306,5237,5663,6858,6838,8924,9745,11273,5842,11254,3830,8901,4325,7914,2454,5836,2223,2871,237,1111,29,338,0,0,0,0,0,0
경기도,이천시,고담동,2023,0,0,0,0,398,42,1677,1626,1993,1597,1484,686,506,619,955,267,336,495,933,393,718,860,1271,410,628,866,959,694,719,1519,621,541,210,1657,155,645,21,306,0,0,0,0,0,0,0,0,0,0
경기도,이천시,관고동,2023,109,0,1118,188,7051,2737,30136,27371,36381,73029,26026,42976,32029,37025,38943,26994,46073,24708,50132,30619,44137,27660,50338,27228,70481,31291,63919,33244,46090,25875,31833,19888,25659,13948,21404,9634,5694,3860,863,1669,25,375,0,0,0,0,0,0
경기도,이천시,단월동,2023,0,0,0,0,599,49,2284,613,2394,1785,2994,524,1435,1313,1255,1275,939,811,1450,1209,1667,1862,912,1609,751,1308,1311,4050,1068,1764,796,1841,385,1589,159,1294,36,630,0,0,0,0,0,0,0,0,0,0
경기도,이천시,대월면,2023,0,0,0,0,7894,876,27410,9118,28075,14458,16751,5685,12109,5625,10113,7595,10281,8932,11432,9102,7947,9934,9345,12125,8490,14828,14013,16773,8446,21093,4456,15748,4594,14149,1875,9830,434,5424,22,57,0,0,0,0,0,0,0,0
경기도,이천시,대포동,2023,0,0,0,0,252,162,2238,1109,2598,1459,1615,720,1562,893,950,567,1134,649,1575,571,706,1025,924,1018,1698,1496,1365,2601,1116,1475,845,1234,446,1411,137,1119,6,939,0,0,0,0,0,0,0,0,0,0
경기도,이천시,마장면,2023,0,0,2067,272,20392,8924,46158,40625,62477,55045,37283,25603,37415,21608,33406,21025,32690,27856,36074,27686,31643,31318,45719,34239,43014,39638,45122,47278,51804,56076,27552,45831,22992,40019,16131,34476,10211,25682,1026,11947,456,5705,0,4,0,0,0,0
경기도,이천시,모가면,2023,0,0,47,1,2347,120,11851,2954,9291,7599,9839,3812,4844,3145,3910,4266,6889,7048,5946,3871,3525,6307,5809,6485,3917,5053,3680,10178,9009,7152,2727,7754,3811,5472,818,5086,75,2517,0,0,0,0,0,0,0,0,0,0
