시도,시군구,읍면동,년도,발생량_04시,도착량_04시,발생량_05시,도착량_05시,발생량_06시,도착량_06시,발생량_07시,도착량_07시,발생량_08시,도착량_08시,발생량_09시,도착량_09시,발생량_10시,도착량_10시,발생량_11시,도착량_11시,발생량_12시,도착량_12시,발생량_13시,도착량_13시,발생량_14시,도착량_14시,발생량_15시,도착량_15시,발생량_16시,도착량_16시,발생량_17시,도착량_17시,발생량_18시,도착량_18시,발생량_19시,도착량_19시,발생량_20시,도착량_20시,발생량_21시,도착량_21시,발생량_22시,도착량_22시,발생량_23시,도착량_23시,발생량_00시,도착량_00시,발생량_01시,도착량_01시,발생량_02시,도착량_02시,발생량_03시,도착량_03시
서울특별시,용산구,신창동,2024,0,0,4806,130,7505,1916,22499,5109,20038,9439,15136,4978,11413,4881,9425,4990,8832,6404,8224,7613,8460,8345,8162,11744,10483,13022,9288,13639,7840,17874,4224,17506,2524,13306,2041,13782,1446,12636,416,8130,20,1198,0,3,0,0,0,0
서울특별시,용산구,용문동,2024,23,0,14127,6820,39423,41558,89907,100355,138048,267843,99720,146763,76088,82570,77345,73149,87699,73066,89582,76836,91589,75568,105052,86295,124717,99522,153707,113445,225707,148532,105819,107630,73935,74265,62336,73091,48804,63566,21491,41249,1052,4405,2,14,2,1,0,0
서울특별시,용산구,용산동1가,2024,1423,3242,1002,6790,1738,13513,3600,34882,5109,33947,5161,22242,5187,17795,6385,19451,7260,21951,8231,22845,9038,23475,10789,24911,12396,28637,11700,29920,9855,33651,7544,30656,6555,25485,6541,24723,5258,21125,3103,12229,2265,2682,1916,2191,1051,1865,831,2157
서울특별시,용산구,용산동2가,2024,10047,4110,31516,11720,87416,41478,187979,119892,293161,141830,215173,117072,158910,115530,149783,130073,161900,158833,167154,173967,172969,187533,196828,221635,228511,256801,214528,273057,218648,296086,187631,256671,157751,194835,153033,172791,120388,148361,51332,76040,12821,17664,5430,6182,3658,2851,3316,2908
서울특별시,용산구,용산동3가,2024,5011,2971,12687,4770,14040,6055,25652,9108,36976,10876,33447,8872,27787,8989,28015,9573,31265,11783,35024,12214,34883,10710,35252,10975,40042,11246,46464,12289,52909,13767,36487,10153,31763,7621,31842,7803,30243,8580,19223,4901,11761,5049,4760,4216,3973,3632,1875,1907
서울특별시,용산구,용산동4가,2024,11875,8494,28331,23337,39399,73377,80824,130730,120562,248428,105409,139359,83695,117812,86910,115397,97713,140083,110670,150588,117171,144295,142443,162196,185327,163412,221248,193652,275401,225760,182085,154455,161935,101183,173473,90578,145469,79115,72656,42189,11289,14837,2625,2921,3028,2924,2623,1562
서울특별시,용산구,용산동5가,2024,1222,197,30748,21840,111345,124167,273423,223838,355370,427585,259016,335933,213520,307399,235071,283653,294765,293965,297347,344267,311180,319633,376074,318642,473542,305947,520855,324302,469758,394517,211035,270809,181181,177272,171737,161415,104273,143607,36328,83042,6010,26597,19,371,0,2,0,0
서울특별시,용산구,용산동6가,2024,266,170,3360,4264,8507,11368,14952,13811,25783,24015,16204,24078,35211,28394,28585,27577,46132,27962,43912,37219,40348,35069,54959,35857,54473,31960,61883,24713,50866,24483,28386,23384,27094,12577,30147,9867,15566,9894,4223,3976,1022,990,5,4,0,0,0,0
서울특별시,용산구,원효로1가,2024,1105,2565,11904,13694,33472,21138,111879,63587,164617,102743,110261,75797,85829,57676,82556,57625,86896,64135,86551,71753,83947,74039,97900,85535,105002,96482,114286,113344,130392,143603,81884,115009,65079,88323,58206,83024,46738,75369,24967,42151,3968,8639,688,1598,458,1302,290,1272
서울특별시,용산구,원효로2가,2024,2867,1919,9450,12662,23597,23933,61727,42367,97171,94664,58785,73339,46897,53855,45824,52219,49725,57538,50141,59494,49417,61236,53861,69973,55976,77119,63832,91185,94751,111927,51748,78818,34994,56282,33751,49965,27475,43220,14302,21840,3208,4233,297,785,107,426,115,314
서울특별시,용산구,원효로3가,2024,3952,822,12428,8140,19689,17057,51162,41125,70785,95637,45346,49961,34718,27594,34578,24841,35654,26345,37941,29084,34420,30679,43459,36552,49449,39851,64269,46285,86861,59594,38041,46657,26881,34569,21438,31901,17148,31514,8317,18320,1631,4185,37,82,2,2,0,0
서울특별시,용산구,원효로4가,2024,1,0,10135,4294,26929,10293,79774,30418,89779,50347,57452,31161,45083,18935,41271,22282,42422,25718,41699,29105,41207,30157,43578,38015,52854,46062,69204,53910,72616,70160,34694,60240,24274,46215,23714,45542,18425,45880,8392,19961,1701,2743,32,97,9,2,0,0
서울특별시,용산구,이촌동,2024,3541,3836,34965,41324,88064,62721,206101,116182,244170,190616,197428,146609,180769,137704,176829,138830,183202,158685,194185,180645,195525,190243,225981,223183,254956,246906,265480,266332,264006,278317,221990,220302,200314,162422,180618,144419,130171,127750,58099,60441,13496,12407,967,1509,577,681,286,435
서울특별시,용산구,이태원동,2024,48062,12060,194002,50454,189957,196190,246537,299159,359569,593589,319180,530775,279865,418152,296883,401768,336049,461518,380065,475002,418377,466123,496883,505507,595206,583824,643832,673306,730290,773069,578163,656102,514642,518295,523777,465963,492425,430278,302971,300845,81823,121481,31359,22379,27146,13711,34043,13046
서울특별시,용산구,청암동,2024,0,0,377,239,5961,1088,16545,2529,21074,8053,11658,6020,8621,4343,7979,5200,8043,6285,7823,6893,7451,7555,6751,8976,7997,11386,9837,13649,8105,16680,5146,14303,3261,11547,2887,10608,2062,10190,1071,7370,280,775,0,2,0,0,0,0
서울특별시,용산구,청파동1가,2024,0,0,2107,2261,9735,6685,26253,14228,36125,25538,25438,19747,18237,17129,16090,17868,16820,20153,16166,22056,15442,24969,13611,29306,14972,33402,14447,37745,15476,53985,8799,47157,7043,35588,5284,34939,3905,34088,1356,12370,33,205,1,2,0,0,0,0
서울특별시,용산구,청파동2가,2024,240,323,3601,3991,11876,10354,32214,40368,54125,124946,47402,136185,48160,155718,49654,114036,51255,83633,62711,94213,69977,76579,65784,64457,94758,69499,79809,70496,73558,90056,57386,62214,49167,48230,48982,45140,37617,43433,18433,23873,1881,3868,67,277,0,0,0,0
서울특별시,용산구,청파동3가,2024,0,0,1473,4553,6359,7598,19331,18499,46516,26806,46641,21794,43758,18604,37960,20604,30143,18604,32694,20063,31075,20719,30479,20478,37707,22805,33156,27481,46252,39402,36200,22018,29364,14062,29896,11555,28903,9578,12147,4868,574,255,3,3,1,0,0,0
서울특별시,용산구,한강로1가,2024,10417,15639,49012,63434,103697,202119,286129,434459,475014,728853,302580,420982,239956,336828,259626,356651,299415,388601,338498,395773,356940,355954,409514,384131,482372,435984,644240,558260,829631,715448,436716,445916,398813,287885,435829,256701,400304,245643,226487,148387,44357,51070,7626,6980,4851,3635,4001,3383
서울특별시,용산구,한강로2가,2024,6202,22860,36916,96253,100810,286724,292896,691467,490017,1481444,357133,1163144,315135,647633,400084,633065,446203,667634,534979,683875,557573,645123,713562,684582,887072,762000,1203918,908518,1615353,1044272,933306,615667,829107,379720,853300,290758,670379,220553,338761,114126,82108,33839,16324,7050,8571,3140,6225,3247
